director_file,director_id,route_family,decision_authority_specific,agent_selection_rules_specific,quality_authority_specific,escalation_rules_specific,required_input_packets_specific,emitted_output_packets_specific,communication_pointer_ids_exact,validator_bindings_specific,lineage_fields_specific,provider_boundary_present,production_score_fields_specific,classification,gap
directors/DIRECTORS_05_TO_30_COMPLETE_SPECS.md,SUPREME_VISION_COUNCIL_1_REMAINING,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/DIRECTORS_COMPLETE_REGISTRY.py,str,"[approval_gate, repo_write_mode]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/DIRECTOR_REGISTRY_MANIFEST.yaml,SHADOW_EMPIRE_DIRECTOR_REGISTRY_MANIFEST,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/cinematic/garuda.md,DIRECTOR:_GARUDA,"[approval_gate, repo_write_mode]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/cinematic/garuda_varuna_indra_summary.md,CINEMATIC_COUNCIL_REMAINING_DIRECTORS_23-25,"[approval_gate, repo_write_mode]",true,true,true,false,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/cinematic/hanuman.md,DIRECTOR:_HANUMAN,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/cinematic/indra.md,DIRECTOR:_INDRA,"[approval_gate, repo_write_mode]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/cinematic/nataraja.md,DIRECTOR:_NATARAJA,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/cinematic/varuna.md,DIRECTOR:_VARUNA,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/distribution/kama.md,DIRECTOR:_KAMA,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/distribution/saraswati.md,DIRECTOR:_SARASWATI,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/kernel/aruna.md,DIRECTOR:_ARUNA,"[script_debate, script_generation]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/kernel/kubera.md,DIRECTOR:_KUBERA,"[approval_gate, repo_write_mode]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/kernel/yama.md,DIRECTOR:_YAMA,"[approval_gate, repo_write_mode]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/production/agni.md,DIRECTOR:_AGNI,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/production/arjuna.md,DIRECTOR:_ARJUNA,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/production/maya.md,DIRECTOR:_MAYA,"[provider_handoff, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/production/tumburu.md,DIRECTOR:_TUMBURU,"[provider_handoff, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/production/vishwakarma.md,DIRECTOR:_VISHWAKARMA,"[provider_handoff, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/research/agastya.md,DIRECTOR:_AGASTYA,"[trend_research, topic_discovery, script_generation]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/research/ganesha.md,DIRECTOR:_GANESHA,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/research/parashara.md,DIRECTOR:_PARASHARA,[script_generation],true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/research/valmiki.md,DIRECTOR:_VALMIKI,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/research/vyasa.md,DIRECTOR:_VYASA,"[provider_handoff, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/strategy/chanakya.md,DIRECTOR:_CHANAKYA,"[provider_handoff, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/strategy/durga.md,DIRECTOR:_DURGA,"[approval_gate, repo_write_mode]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/strategy/narada.md,DIRECTOR:_NARADA,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/strategy/ravana.md,DIRECTOR:_RAVANA,"[provider_handoff, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/strategy/yudhishthira.md,DIRECTOR:_YUDHISHTHIRA,"[approval_gate, repo_write_mode]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/supreme_vision/brahma.md,DIRECTOR:_BRAHMA,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/supreme_vision/krishna.md,DIRECTOR:_KRISHNA,"[approval_gate, repo_write_mode]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/supreme_vision/shakti.md,DIRECTOR:_SHAKTI,"[quality_gate, full_video_pipeline]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/supreme_vision/shiva.md,shiva,"[lineage_summary, approval_gate]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
directors/supreme_vision/vishnu.md,DIRECTOR:_VISHNU,"[approval_gate, repo_write_mode]",true,true,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native director body does not prove decision authority beyond appended 2D enrichment
