subagent_file,subagent_id,execution_lane_specific,route_binding_specific,skill_activation_rules_specific,validation_checkpoint_specific,input_packet_specific,output_packet_specific,pointer_ids_exact,fallback_specific,lineage_specific,classification,gap
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,SUB_AGENT_RUNTIME_REGISTRY,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_110/cwf_110_sub_agent.py,cwf_110_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_120/cwf_120_sub_agent.py,cwf_120_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_130/cwf_130_sub_agent.py,cwf_130_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_140/cwf_140_sub_agent.py,cwf_140_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_210/cwf_210_sub_agent.py,cwf_210_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_220/cwf_220_sub_agent.py,cwf_220_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_230/cwf_230_sub_agent.py,cwf_230_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_240/cwf_240_sub_agent.py,cwf_240_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_310/cwf_310_sub_agent.py,cwf_310_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_320/cwf_320_sub_agent.py,cwf_320_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_330/cwf_330_sub_agent.py,cwf_330_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_340/cwf_340_sub_agent.py,cwf_340_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_410/cwf_410_sub_agent.py,cwf_410_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_420/cwf_420_sub_agent.py,cwf_420_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_430/cwf_430_sub_agent.py,cwf_430_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_440/cwf_440_sub_agent.py,cwf_440_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_510/cwf_510_sub_agent.py,cwf_510_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_520/cwf_520_sub_agent.py,cwf_520_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_530/cwf_530_sub_agent.py,cwf_530_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_610/cwf_610_sub_agent.py,cwf_610_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_620/cwf_620_sub_agent.py,cwf_620_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_630/cwf_630_sub_agent.py,cwf_630_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_000/wf_000_sub_agent.py,wf_000_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_001/wf_001_sub_agent.py,wf_001_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_010/wf_010_sub_agent.py,wf_010_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_020/wf_020_sub_agent.py,wf_020_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_021/wf_021_sub_agent.py,wf_021_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_022/wf_022_sub_agent.py,wf_022_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_023/wf_023_sub_agent.py,wf_023_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_100/wf_100_sub_agent.py,wf_100_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_200/wf_200_sub_agent.py,wf_200_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_300/wf_300_sub_agent.py,wf_300_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_400/wf_400_sub_agent.py,wf_400_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_500/wf_500_sub_agent.py,wf_500_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_600/wf_600_sub_agent.py,wf_600_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/wf_900/wf_900_sub_agent.py,wf_900_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
