component_id,component_path,lifecycle_status,active_runtime,consumed_by_dag,status
agent_control_plane_001_agent,agents/agent_control_plane_001/agent_control_plane_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_control_plane_002_agent,agents/agent_control_plane_002/agent_control_plane_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_control_plane_003_agent,agents/agent_control_plane_003/agent_control_plane_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_control_plane_004_agent,agents/agent_control_plane_004/agent_control_plane_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_control_plane_005_agent,agents/agent_control_plane_005/agent_control_plane_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_evolution_001_agent,agents/agent_evolution_001/agent_evolution_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_evolution_002_agent,agents/agent_evolution_002/agent_evolution_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_evolution_003_agent,agents/agent_evolution_003/agent_evolution_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_evolution_004_agent,agents/agent_evolution_004/agent_evolution_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_evolution_005_agent,agents/agent_evolution_005/agent_evolution_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_001_agent,agents/agent_governance_001/agent_governance_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_002_agent,agents/agent_governance_002/agent_governance_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_003_agent,agents/agent_governance_003/agent_governance_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_004_agent,agents/agent_governance_004/agent_governance_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_005_agent,agents/agent_governance_005/agent_governance_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_006_agent,agents/agent_governance_006/agent_governance_006_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_007_agent,agents/agent_governance_007/agent_governance_007_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_008_agent,agents/agent_governance_008/agent_governance_008_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_009_agent,agents/agent_governance_009/agent_governance_009_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_governance_010_agent,agents/agent_governance_010/agent_governance_010_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_001_agent,agents/agent_kernel_001/agent_kernel_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_002_agent,agents/agent_kernel_002/agent_kernel_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_003_agent,agents/agent_kernel_003/agent_kernel_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_004_agent,agents/agent_kernel_004/agent_kernel_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_005_agent,agents/agent_kernel_005/agent_kernel_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_006_agent,agents/agent_kernel_006/agent_kernel_006_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_007_agent,agents/agent_kernel_007/agent_kernel_007_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_008_agent,agents/agent_kernel_008/agent_kernel_008_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_009_agent,agents/agent_kernel_009/agent_kernel_009_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_010_agent,agents/agent_kernel_010/agent_kernel_010_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_011_agent,agents/agent_kernel_011/agent_kernel_011_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_kernel_012_agent,agents/agent_kernel_012/agent_kernel_012_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_001_agent,agents/agent_media_001/agent_media_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_002_agent,agents/agent_media_002/agent_media_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_003_agent,agents/agent_media_003/agent_media_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_004_agent,agents/agent_media_004/agent_media_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_005_agent,agents/agent_media_005/agent_media_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_006_agent,agents/agent_media_006/agent_media_006_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_007_agent,agents/agent_media_007/agent_media_007_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_008_agent,agents/agent_media_008/agent_media_008_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_009_agent,agents/agent_media_009/agent_media_009_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_010_agent,agents/agent_media_010/agent_media_010_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_011_agent,agents/agent_media_011/agent_media_011_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_012_agent,agents/agent_media_012/agent_media_012_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_013_agent,agents/agent_media_013/agent_media_013_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_014_agent,agents/agent_media_014/agent_media_014_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_015_agent,agents/agent_media_015/agent_media_015_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_016_agent,agents/agent_media_016/agent_media_016_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_017_agent,agents/agent_media_017/agent_media_017_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_018_agent,agents/agent_media_018/agent_media_018_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_019_agent,agents/agent_media_019/agent_media_019_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_media_020_agent,agents/agent_media_020/agent_media_020_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_recovery_001_agent,agents/agent_recovery_001/agent_recovery_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_recovery_002_agent,agents/agent_recovery_002/agent_recovery_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_recovery_003_agent,agents/agent_recovery_003/agent_recovery_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_recovery_004_agent,agents/agent_recovery_004/agent_recovery_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_recovery_005_agent,agents/agent_recovery_005/agent_recovery_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_recovery_006_agent,agents/agent_recovery_006/agent_recovery_006_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_recovery_007_agent,agents/agent_recovery_007/agent_recovery_007_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_recovery_008_agent,agents/agent_recovery_008/agent_recovery_008_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_001_agent,agents/agent_research_001/agent_research_001_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_002_agent,agents/agent_research_002/agent_research_002_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_003_agent,agents/agent_research_003/agent_research_003_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_004_agent,agents/agent_research_004/agent_research_004_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_005_agent,agents/agent_research_005/agent_research_005_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_006_agent,agents/agent_research_006/agent_research_006_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_007_agent,agents/agent_research_007/agent_research_007_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_008_agent,agents/agent_research_008/agent_research_008_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_009_agent,agents/agent_research_009/agent_research_009_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_010_agent,agents/agent_research_010/agent_research_010_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_011_agent,agents/agent_research_011/agent_research_011_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_012_agent,agents/agent_research_012/agent_research_012_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_013_agent,agents/agent_research_013/agent_research_013_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_014_agent,agents/agent_research_014/agent_research_014_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_015_agent,agents/agent_research_015/agent_research_015_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_016_agent,agents/agent_research_016/agent_research_016_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_017_agent,agents/agent_research_017/agent_research_017_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
agent_research_018_agent,agents/agent_research_018/agent_research_018_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_110_sub_agent,subagents/cwf_110/cwf_110_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_120_sub_agent,subagents/cwf_120/cwf_120_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_130_sub_agent,subagents/cwf_130/cwf_130_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_140_sub_agent,subagents/cwf_140/cwf_140_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_210_sub_agent,subagents/cwf_210/cwf_210_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_220_sub_agent,subagents/cwf_220/cwf_220_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_230_sub_agent,subagents/cwf_230/cwf_230_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_240_sub_agent,subagents/cwf_240/cwf_240_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_310_sub_agent,subagents/cwf_310/cwf_310_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_320_sub_agent,subagents/cwf_320/cwf_320_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_330_sub_agent,subagents/cwf_330/cwf_330_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_340_sub_agent,subagents/cwf_340/cwf_340_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_410_sub_agent,subagents/cwf_410/cwf_410_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_420_sub_agent,subagents/cwf_420/cwf_420_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_430_sub_agent,subagents/cwf_430/cwf_430_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_440_sub_agent,subagents/cwf_440/cwf_440_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_510_sub_agent,subagents/cwf_510/cwf_510_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_520_sub_agent,subagents/cwf_520/cwf_520_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_530_sub_agent,subagents/cwf_530/cwf_530_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_610_sub_agent,subagents/cwf_610/cwf_610_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_620_sub_agent,subagents/cwf_620/cwf_620_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
cwf_630_sub_agent,subagents/cwf_630/cwf_630_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_000_sub_agent,subagents/wf_000/wf_000_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_001_sub_agent,subagents/wf_001/wf_001_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_010_sub_agent,subagents/wf_010/wf_010_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_020_sub_agent,subagents/wf_020/wf_020_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_021_sub_agent,subagents/wf_021/wf_021_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_022_sub_agent,subagents/wf_022/wf_022_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_023_sub_agent,subagents/wf_023/wf_023_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_100_sub_agent,subagents/wf_100/wf_100_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_200_sub_agent,subagents/wf_200/wf_200_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_300_sub_agent,subagents/wf_300/wf_300_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_400_sub_agent,subagents/wf_400/wf_400_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_500_sub_agent,subagents/wf_500/wf_500_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_600_sub_agent,subagents/wf_600/wf_600_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
wf_900_sub_agent,subagents/wf_900/wf_900_sub_agent.py,DUPLICATE_CANDIDATE,false,false,PASS
